Title,Artist,Album
Jannatein Kahan,Pritam,Jannat 2 (Original Motion Picture Soundtrack)
Judai (Kilogram Mix),Pritam,Jannat (Original Motion Picture Soundtrack)
Judai,Pritam,Jannat (Original Motion Picture Soundtrack)
Lambi Judai,Pritam,Jannat (Original Motion Picture Soundtrack)
Mat Aazma Re,Pritam,Murder 3 (Original Motion Picture Soundtrack)
Tera Deedar Hua,Pritam,Jannat 2 (Original Motion Picture Soundtrack)
Teri Jhuki Nazar,Pritam,Murder 3 (Original Motion Picture Soundtrack)
Tu Hi Haqeeqat,Pritam,Tum Mile (Original Motion Picture Soundtrack)
Tu Hi Mera,Pritam,Jannat 2 (Original Motion Picture Soundtrack)
Tujhe Sochta Hoon,Pritam,Jannat 2 (Original Motion Picture Soundtrack)
Tum Mile,Pritam,Tum Mile (Original Motion Picture Soundtrack)
Zara Sa (Power Ballad),Pritam,Jannat (Original Motion Picture Soundtrack)
Khwab Dekhe Sexy Lady,Pritam Chakraborty/Neeraj Shridhar/Monali Thakur,Race (Original Motion Picture Soundtrack)
Ghana Kasoota (feat. Surbhi Jyoti),Raftaar,Ghana Kasoota (feat. Surbhi Jyoti)
Isq Risk,Rahat Fateh Ali Khan,Mere Brother Ki Dulhan
O Re Piya,Rahat Fateh Ali Khan,Aaja Nachle
Bink's Sake - Hindi (Fan Version),Rawmats,Bink's Sake - Hindi (Fan Version)
Genda Phool,Rekha Bhardwaj,Delhi-6
Ari Ari,Ritviz,Baaraat
Baaraat,Ritviz,Baaraat
Jeet,Ritviz,Ved
Liggi,Ritviz,Dev
Sathi,Ritviz,Baaraat
Udd Gaye,Ritviz,Ved
Bezubaan,Sachin-Jigar,ABCD - Any Body Can Dance (Original Motion Picture Soundtrack)
G Phaad Ke (Remix),Sachin-Jigar,Happy Ending (Original Motion Picture Soundtrack)
G Phaad Ke,Sachin-Jigar,Happy Ending (Original Motion Picture Soundtrack)
Paisa Hai Toh,Sachin-Jigar,Farzi (Original Series Soundtrack)
Behti Hawa Sa Tha Woh,Shaan,3 Idiots (Original Motion Picture Soundtrack)
Hey Shona,Shaan,Ta Ra Rum Pum
Ladki Kyon,Shaan,Hum Tum
My Dil Goes Mmmm,Shaan,Salaam Namaste
Ta Ra Rum Pum,Shaan,Ta Ra Rum Pum
Pasoori,Shae Gill,Pasoori
Timro Pratiksa,Shallum Lama,Timro Pratiksa
Koi Kahe Kehta Rahe,Shankar Mahadevan,Dil Chahta Hai
"Agar Tum Mil Jao (From ""Zeher"")",Shreya Ghoshal/Roop Kumar Rathod/Anu Malik,Zeher (Original Motion Picture Soundtrack)
Deewani Mastani,Shreya Ghoshal,Bajirao Mastani (Original Motion Picture Soundtrack)
Nagada Sang Dhol,Shreya Ghoshal,Goliyon Ki Raasleela Ram-Leela (Original Motion Picture Soundtrack)
Cheques,Shubh,Still Rollin
King Shit,Shubh,Leo
One Love,Shubh,One Love
Jashn-e-Ishqa,SOHAIL SEN,Gunday
Jiya,SOHAIL SEN,Gunday
Aal Izz Well,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack)
Ishq Hua,Sonu Nigam,Aaja Nachle
Jaane Nahin Denge Tujhe,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack)
Yeh Dil Deewana,Sonu Nigam,Pardes (Original Motion Picture Soundtrack)
Zoobi Doobi,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack)
Dilbara,Sowmya Raoh/Abhijeet/Pritam/Sameer,Dhoom
Chaiyya Chaiyya,Sukhwinder Singh,Dil Se (Original Motion Picture Soundtrack)
Chak De India,Sukhwinder Singh,Chak De India
Jai Ho,Sukhwinder Singh,Slumdog Millionaire
Aaja Nachle,Sunidhi Chauhan,Aaja Nachle
Give Me Some Sunshine,Suraj Jagan,3 Idiots (Original Motion Picture Soundtrack)
Latika's Theme,Suzanne,Slumdog Millionaire
Ram Ayenge,Swati Mishra,Ram Ayenge
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")"
Addicted (ਆਦੀ),The Chainsmokers,Addicted (ਆਦੀ)
Aaoge Tum Kabhi,The Local Train,Aalas Ka Pedh
Bandey,The Local Train,Aalas Ka Pedh
Choo Lo,The Local Train,Aalas Ka Pedh
Dil Mere,The Local Train,Aalas Ka Pedh
Kaisey Jiyun (Acoustic),The Local Train,Aalas Ka Pedh
Kaisey Jiyun,The Local Train,Aalas Ka Pedh
Yeh Zindagi Hai,The Local Train,Aalas Ka Pedh
Kina Chir,The PropheC,The Lifestyle
Roz Roz,The Yellow Diary,Roz Roz
Mere Rashke Qamar,Tulsi Kumar,Baadshaho
Main Yahaan Hoon,Udit Narayan,Veer - Zaara
Mere Mehboob Mere Sanam,Udit Narayan,Duplicate (Original Motion Picture Soundtrack)
Salaam Namaste,Vasundhara Das,Salaam Namaste
Bahara,Vishal & Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack)
Dhat Teri Ki,Vishal & Shekhar,Gori Tere Pyaar Mein (Original Motion Picture Soundtrack)
Ishq Wala Love,Vishal & Shekhar,Student of the Year (Original Motion Picture Soundtrack)
Manjha,Vishal Mishra,Manjha
Ik Kudi,wolf.cryman,Ik Kudi
Millionaire,Yo Yo Honey Singh,GLORY
Bom Diggy,Zack Knight,Bom Diggy - Single
Guzarish,Javed Ali,Ghajini
Aye Bachchu,Suzanne,Ghajini
Kaise Mujhe,Benny Dayal,Ghajini
Behka,Karthik,Ghajini
Latoo,Shreya Ghoshal,Ghajini
Kaise Mujhe (Instrumental),A.R. Rahman,Ghajini
Galliyan,Ankit Tiwari,Ek Villain
Banjaara,Mohammed Irfan,Ek Villain
Zaroorat,Mustafa Zahid,Ek Villain
Awari,Adnan Dhool,Ek Villain
Humdard,Arijit Singh,Ek Villain
Galliyan (Unplugged),Shraddha Kapoor,Ek Villain
Woh Ladki Jo,Abhijeet,Baadshah (Original Motion Picture Soundtrack)
Baadshah O Baadshah,Abhijeet,Baadshah (Original Motion Picture Soundtrack)
Hum To Deewane Huye,Abhijeet,Baadshah (Original Motion Picture Soundtrack)
Mohabbat Ho Gayee,Abhijeet,Baadshah (Original Motion Picture Soundtrack)
Main To Hoon Pagal,Abhijeet,Baadshah (Original Motion Picture Soundtrack)
O Baby,Anu Malik,Baadshah (Original Motion Picture Soundtrack)
Shikdum,Shaan,Dhoom
Dilbara (Reprisal) Edit,Sowmya Raoh,Dhoom
Dilbara,Sowmya Raoh,Dhoom
Dhoom Machale,Sunidhi Chauhan,Dhoom
Dhoom Dhoom,Tata Young,Dhoom
Salaame,Vasundhara Das,Dhoom
Touch Me,Alisha Chinai,Dhoom:2
My Name Is Ali,Sonu Nigam,Dhoom:2
Dil Laga Na,Sukhbir,Dhoom:2
Crazy Kiya Re,Sunidhi Chauhan,Dhoom:2
Dhoom Again,Vishal Dadlani,Dhoom:2
Dhoom:3 Overture,Julius Packiam,Dhoom:3
Bande Hain Hum Uske,Kausar Munir,Dhoom:3
Tu Hi Junoon,Mohit Chauhan,Dhoom:3
Dhoom Machale Dhoom,Pritam,Dhoom:3
Dhoom Tap,Pritam,Dhoom:3
Malang,Pritam,Dhoom:3
Kamli,Sunidhi Chauhan,Dhoom:3
Kabhi Khushi Kabhie Gham,Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
Bole Chudiyan,Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
You Are My Soniya,Sandesh Shandilya,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
Suraj Hua Maddham,Sandesh Shandilya,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
"Say ""Shava Shava""",Aadesh Shrivastava,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
Yeh Ladka Hai Allah,Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
Kabhi Khushi Kabhie Gham (Sad Version -1),Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
Deewana Hai Dekho,Sandesh Shandilya,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
"Kabhi Khushi Kabhie Gham (Sad Version, 2)",Jatin-Lalit,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
Soul Of K3G (Instrumental),Sandesh Shandilya,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
Vande Mataram,Sandesh Shandilya,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack)
Kal Ho Naa Ho,Sonu Nigam,Kal Ho Naa Ho
Maahi Ve,Shankar Ehsaan Loy feat. Sadhana Sargam; Sujata Bhattacharya; Udit Narayan; Sonu Nigam & Shankar Mahadevan,Kal Ho Naa Ho
It's the Time to Disco,Shaan,Kal Ho Naa Ho
Kuch To Hua Hai,Shaan,Kal Ho Naa Ho
Kal Ho Naa Ho (Sad),Sonu Nigam,Kal Ho Naa Ho
Pretty Woman,Shankar Mahadevan,Kal Ho Naa Ho
Heartbeat (Instrumental),Shankar Ehsaan Loy,Kal Ho Naa Ho
Toh Phir Aao (Lounge Version),Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack)
Tera Mera Rishta,Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack)
Mahiya,Suzzane D'mello,Awarapan (Original Motion Picture Soundtrack)
Maula Maula,Rafaquat Ali Khan,Awarapan (Original Motion Picture Soundtrack)
Toh Phir Aao,Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack)
Toh Phir Aao (Remix),Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack)
Mahiya (Remix),Annie,Awarapan (Original Motion Picture Soundtrack)
Tera Mera Rishta (Remix),Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack)
Tum Hi Ho Bandhu,Neeraj Shreedhar,Cocktail (Original Motion Picture Soundtrack)
Daaru Desi,Benny Dayal,Cocktail (Original Motion Picture Soundtrack)
Yaariyaan (Male Vocals),Mohan Kanan,Cocktail (Original Motion Picture Soundtrack)
Second Hand Jawaani,Miss Pooja,Cocktail (Original Motion Picture Soundtrack)
Tera Naam Japdi Phiran,Javed Bashir,Cocktail (Original Motion Picture Soundtrack)
Luttna,Masuma Anwar,Cocktail (Original Motion Picture Soundtrack)
Jugni,Arif Lohar,Cocktail (Original Motion Picture Soundtrack)
Yaariyaan (Female Vocals),Sunidhi Chauhan,Cocktail (Original Motion Picture Soundtrack)
Luttna (Reprise),Masuma Anwar,Cocktail (Original Motion Picture Soundtrack)
Tera Naam Japdi Phiran (Remix),Javed Bashir,Cocktail (Original Motion Picture Soundtrack)
Main Sharabi,Imran Aziz Mian,Cocktail (Original Motion Picture Soundtrack)
Tujh Mein Rab Dikhta Hai,Salim,Rab Ne Bana Di Jodi
Haule Haule,Salim,Rab Ne Bana Di Jodi
Dance Pe Chance,Salim,Rab Ne Bana Di Jodi
Phir Milenge Chalte Chalte,Salim,Rab Ne Bana Di Jodi
Tujh Mein Rab Dikhta Hai - II,Salim,Rab Ne Bana Di Jodi
Dancing Jodi,Salim,Rab Ne Bana Di Jodi
Haule Haule (Remix) - Remixed by: DJ Amyth,Salim,Rab Ne Bana Di Jodi
Dhadak Dhadak,Shankar-Ehsaan-Loy,Bunty Aur Babli
Chup Chup Ke,Shankar-Ehsaan-Loy,Bunty Aur Babli
Nach Baliye,Shankar-Ehsaan-Loy,Bunty Aur Babli
Bunty Aur Babli,Shankar-Ehsaan-Loy,Bunty Aur Babli
B n B,Shankar-Ehsaan-Loy,Bunty Aur Babli
Kajra Re,Shankar-Ehsaan-Loy,Bunty Aur Babli
Barso Re,"A.R. Rahman, Shreya Ghoshal, Uday Mazumdar",Guru (Original Motion Picture Soundtrack)
Jashn-E-Bahaaraa,"A.R. Rahman, Javed Ali",Jodhaa Akbar (Original Motion Picture Soundtrack)
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",Rockstar
Maahi Ve,A.R. Rahman,Highway
Ho Ja Mast Malang Tu,"Adnan Dhool, Hadiya Hashmi",Malang - Unleash The Madness
Abhi Mujh Mein Kahin,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack)
"Duniyaa (From ""Luka Chuppi"")","Akhil, Dhvani Bhanushali, Kunaal Vermaa, Abhijit Vaghani","Duniyaa (From ""Luka Chuppi"")"
Tera Ban Jaunga,"Akhil Sachdeva, Tulsi Kumar",Kabir Singh
Chammak Challo,"Akon, Hamsika Iyer",Ra-One
Criminal,"Akon, Vishal Dadlani, Shruti Pathak",Ra-One
Faded - Lost Stories Remix,Alan Walker,Faded (Lost Stories Remix)
Maula,Ali Azmat,Jism 2
"London, Paris, New York","Ali Zafar, Sunidhi Chauhan","London, Paris, New York (Original Motion Picture Soundtrack)"
Aaj Ki Raat,"Alisha Chinai, Mahalakshmi Iyer, Sonu Nigam",Don
Ae Mere Humsafar,"Alka Yagnik, Udit Narayan",Qayamat Se Qayamat Tak
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Tamasha
Hua Hain Aaj Pehli Baar,"Amaal Mallik, Armaan Malik, Palak Muchhal",Sanam Re
Soch Na Sake,"Amaal Mallik, Arijit Singh, Tulsi Kumar",Airlift
Iktara,"Amit Trivedi, Kavita Seth, Amitabh Bhattacharya",Wake Up Sid (Original Motion Picture Soundtrack)
Naina Da Kya Kasoor,Amit Trivedi,Andhadhun (Original Motion Picture Soundtrack)
Pareshaan,"Amit Trivedi, Shalmali Kholgade, Kausar Munir",Ishaqzaade
Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",Jawan
"Bheege Bheege (From ""Amavas"")","Ankit Tiwari, Sunidhi Chauhan","Bheege Bheege (From ""Amavas"")"
Soniye Dil Nayi,"Ankit Tiwari, Shruti Pathak",Baaghi 2
Sunn Raha Hai (Male Version),Ankit Tiwari,Aashiqui 2
Tu Hai Ki Nahi,Ankit Tiwari,Roy
Aashiqui 2 Mashup,"Arijit Singh, Ankit Tiwari, Mithoon, Kiran Kamath",Aashiqui 2 Mashup
Har Kisi Ko,"Arijit Singh, Neeti Mohan",Boss
Main Dhoondne Ko Zamaane Mein,Arijit Singh,Heartless
Milne Hai Mujhse Aayi,Arijit Singh,Aashiqui 2
"Pal Pal Dil Ke Paas - Title Track - From ""Pal Pal Dil Ke Paas""","Arijit Singh, Parampara Thakur","Pal Pal Dil Ke Paas - Title Track (From ""Pal Pal Dil Ke Paas"")"
Raat Bhar,"Arijit Singh, Shreya Ghoshal",Heropanti
Satranga,"Arijit Singh, Shreyas Puranik, Siddharth - Garima",ANIMAL
Sooraj Dooba Hain,"Arijit Singh, Aditi Singh Sharma",Roy
Tujhe Kitna Chahne Lage,Arijit Singh,Kabir Singh
Yeh Fitoor Mera,Arijit Singh,Fitoor (Original Motion Picture Soundtrack)
Meherbani,"Arko, Jubin Nautiyal",The Shaukeens (Original Motion Picture Soundtrack)
Hui Malang,Asees Kaur,Malang - Unleash The Madness
Haiwaan,Ashim Kemson,ANIMAL
Aa Bhi Jaa Sanam,Atif Aslam,Prince (Original Motion Picture Soundtrack)
"Aadat - From ""Kalyug""","Atif Aslam, Jal, Mithoon",Kalyug (Original Motion Picture Soundtrack)
Be Intehaan,"Atif Aslam, Sunidhi Chauhan, Pritam",Race 2 (Original Motion Picture Soundtrack)
Dekhte Dekhte,Atif Aslam,Batti Gul Meter Chalu
Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal, Sachin-Jigar",Ramaiya Vastavaiya (Original Motion Picture Soundtrack)
Abhi Toh Party Shuru Hui Hai,"Badshah, Aastha Gill",Khoobsurat
Bang Bang,"Benny Dayal, Neeti Mohan",Bang Bang (Original Motion Picture Soundtrack)
Ek Main Aur Ekk Tu,"Benny Dayal, Anushka Manchanda, Amit Trivedi",Ek Main Aur Ekk Tu
If You Hold My Hand,Benny Dayal,ABCD 2 (Original Motion Picture Soundtrack)
Kaise Mujhe,"Benny Dayal, Shreya Ghoshal",Ghajini
Lat Lag Gayee,"Benny Dayal, Shalmali Kholgade, Pritam",Race 2 (Original Motion Picture Soundtrack)
Pappu Can't Dance,"Benny Dayal, Naresh Iyer, Satish Chakravarthy, Aslam, Blaaze, Tanvi Shah, Bhargavi Pillai",Jaane Tu... Ya Jaane Na
Tu Meri Dost Hain,"Benny Dayal, Shreya Ghoshal",Yuvvraaj (Original Motion Picture Soundtrack)
Udi Udi Jaye,"Bhoomi Trivedi, Sukhwinder Singh, Karsan Sagathia",Raees (Original Motion Picture Soundtrack)
Zara Zara,Bombay Jayashri,Rehnaa Hai Terre Dil Mein
Laaree Chootee,Call,Dhoom
Titli,"Chinmayi, Gopi Sundar",Chennai Express
Jannat Ve,Darshan Raval,Jannat Ve
"Chalti Hai Kya 9 Se 12 (From ""Judwaa 2"")","Dev Negi, Neha Kakkar, Sandeep Shirodkar, Anu Malik","Chalti Hai Kya 9 Se 12 (From ""Judwaa 2"")"
Radha,"Dhvani Bhanushali, Kunaal Vermaa, Abhijit Vaghani",Radha
Thank You God,"Dhvani Bhanushali, Shloke Lal, David Arkwright",Thank You God
Vaaste,"Dhvani Bhanushali, Nikhil D'Souza, Tanishk Bagchi",Vaaste
Sun Saathiya,"Divya Kumar, Priya Saraiya",ABCD 2 (Original Motion Picture Soundtrack)
Mera Mann Kehne Laga (Reprise),Falak Shabbir,Nautanki Saala !
Uff,"Harshdeep Kaur, Benny Dayal",Bang Bang (Original Motion Picture Soundtrack)
Hale Dil,Harshit Saxena,Murder 2
Hookah Bar,"Himesh Reshammiya, Vineet Singh, Aaman Trikha",Khiladi 786
Saari Duniya Jalaa Denge,"Jaani, B Praak",ANIMAL
Chand Sifarish,"Jatin-Lalit, Shaan, Kailash Kher, Prasoon Joshi",Fanaa
Mere Haath Mein,"Jatin-Lalit, Sonu Nigam, Sunidhi Chauhan, Aamir Khan, Kajol, Prasoon Joshi",Fanaa
Deewana Kar Raha Hai,Javed Ali,Raaz 3
Guzarish,Javed Ali,Ghajini
Kabhii Tumhhe,"Javed-Mohsin, Darshan Raval",Shershaah (Original Motion Picture Soundtrack)
Pal,"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",Pal
Hamari Adhuri Kahani (Title Track),"Jeet Gannguli, Arijit Singh",Hamari Adhuri Kahani (Original Motion Picture Soundtrack)
Khamoshiyan,"Jeet Gannguli, Arijit Singh",Khamoshiyan (Original Motion Picture Soundtrack)
Allah Ke Bande,Kailash Kher,Waisa Bhi Hota Hai Part 2 (Original Motion Picture Soundtrack)
Mere Nishaan,"Kailash Kher, Meet Bros Anjjan",Oh My God
Teri Deewani,"Kailash Kher, Paresh Kamath, Naresh Kamath",Kailasa
Reborn,Kaivon,Reborn
"Rangisari (From ""Jugjugg Jeeyo"")","Kanishk Seth, Kavita Seth","Rangisari (From ""Jugjugg Jeeyo"")"
Abhi Abhi,"KK, Shreya Ghoshal",Jism 2
"Ajab Si (From ""Om Shanti Om"")",KK,Zindagi Do Pal Ki - K.K. All Time Hits
Chale Jaise Hawaien,"KK, Vasundhara Das",Main Hoon Na
Kya Mujhe Pyar Hai,KK,Woh Lamhe
Teri Yaadon Mein,"KK, Shreya Ghoshal",The Killer
Tu Hi Meri Shab Hai - Remix,KK,Gangster
Sadi Gali,"Lehmber Hussainpuri, Raj Shekhar",Tanu Weds Manu
Arjan Vailly,"Manan Bhardwaj, Bhupinder Babbal",ANIMAL
Kashmir,"Manan Bhardwaj, Shreya Ghoshal",ANIMAL
Chittiyaan Kalaiyaan,"Meet Bros Anjjan, Kanika Kapoor",Roy
Aapka Kya Hoga (Dhanno),"Mika Singh, Sunidhi Chauhan, Sajid Khan",Housefull
Long Drive,Mika Singh,Khiladi 786
Aashiqui (The Love Theme),Mithoon,Aashiqui 2
"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]","Mithoon, Arijit Singh","Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]"
Sanam Re,"Mithoon, Arijit Singh",Sanam Re
"Dooriyan (From ""Love Aaj Kal"")",Mohit Chauhan,Love Aaj Kal
Saadda Haq,Mohit Chauhan,Rockstar
Tujhe Bhula Diya,"Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",Anjaana Anjaani
Sawaar Loon,Monali Thakur,Lootera
Duaa,"Nandini Srikar, Arijit Singh",Shanghai
Nainowale Ne,Neeti Mohan,Padmaavat
"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar, Dhvani Bhanushali, Ikka, Tanishk Bagchi","Dilbar (From ""Satyameva Jayate"")"
La La La,"Neha Kakkar, Arjun Kanungo",La La La
Tennu Le,omer inayat,Jai Veeru
Meri Aashiqui,"Palak Muchhal, Arijit Singh",Aashiqui 2
Teri Meri Kahaani,"Palak Muchhal, Arijit Singh",Gabbar Is Back (Original Motion Picture Soundtrack)
Chadti Jawani - Lofi,"Pallavi Kelkar, Shreekant Krishnamurthy, The Keychangers",Classic Lofi Chill
Aao Milo Chalo,"Pritam, Shaan, Sultan Khan",Jab We Met
Abhi Kuch Dino Se,"Pritam, Mohit Chauhan",Dil Toh Baccha Hai Ji
Afghan Jalebi (Film Version),"Pritam, Akhtar Chinnal",Phantom
Allah Maaf Kare,"Pritam, Sonu Nigam, Shilpa Rao",Desi Boyz
