Behti Hawa Sa Tha Woh,Shaan,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Dhadak Dhadak,Shankar-Ehsaan-Loy,Bunty Aur Babli,Not Found,False
Jiya,SOHAIL SEN,Gunday,Instrumental,False
Aal Izz Well,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Jaane Nahin Denge Tujhe,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Yeh Dil Deewana,Sonu Nigam,Pardes (Original Motion Picture Soundtrack),Not Found,False
Zoobi Doobi,Sonu Nigam,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Chaiyya Chaiyya,Sukhwinder Singh,Dil Se (Original Motion Picture Soundtrack),Not Found,False
Give Me Some Sunshine,Suraj Jagan,3 Idiots (Original Motion Picture Soundtrack),Not Found,False
Addicted (ਆਦੀ),The Chainsmokers,Addicted (ਆਦੀ),Not Found,False
Bahara,Vishal & Shekhar,I Hate Luv Storys (Original Motion Picture Soundtrack),Not Found,False
Dhoom:3 Overture,Julius Packiam,Dhoom:3,Instrumental,False
Dhoom Tap,Pritam,Dhoom:3,Instrumental,False
Soul Of K3G (Instrumental),Sandesh Shandilya,Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),Not Found,False
Heartbeat (Instrumental),Shankar Ehsaan Loy,Kal Ho Naa Ho,Instrumental,False
Daaru Desi,Benny Dayal,Cocktail (Original Motion Picture Soundtrack),Instrumental,False
Second Hand Jawaani,Miss Pooja,Cocktail (Original Motion Picture Soundtrack),Not Found,False
Tera Naam Japdi Phiran,Javed Bashir,Cocktail (Original Motion Picture Soundtrack),Not Found,False
Luttna,Masuma Anwar,Cocktail (Original Motion Picture Soundtrack),Not Found,False
Luttna (Reprise),Masuma Anwar,Cocktail (Original Motion Picture Soundtrack),Not Found,False
Main Sharabi,Imran Aziz Mian,Cocktail (Original Motion Picture Soundtrack),Not Found,False
Dancing Jodi,Salim,Rab Ne Bana Di Jodi,Instrumental,False
Reborn,Kaivon,Reborn,Instrumental,False
Aashiqui (The Love Theme),Mithoon,Aashiqui 2,Instrumental,False
Tennu Le,omer inayat,Jai Veeru,Not Found,False
Chadti Jawani - Lofi,"Pallavi Kelkar, Shreekant Krishnamurthy, The Keychangers",Classic Lofi Chill,Not Found,False
Love Mera Hit Hit,"Pritam, Neeraj Shridhar, Tulsi Kumar",Billu,Not Found,False
Meri Maa (Reprise),"Pritam, KK",Yaariyan,Not Found,False
Maula Mere Maula,Roop Kumar Rathod,Anwar,Not Found,False
