Title,Artist,Album
80's Synthwave Music // Synthpop Chillwave  - Cyberpunk Electro Arcade Mix - Vol 2,Galaxy Waves,Unknown
80s Nostalgic Synthwave // Electro Chillwave,Galactic Drive,Unknown
memory reboot but it sounds like snowfall (1 hour) (slowed reverb),pandora.,Unknown
Singularity (Synthwave - Retrowave - Chillwave Mix),SoulSearchAndDestroy,Unknown
