Title,Artist,Album
Toh Phir Aao (Lounge Version),Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack)
Tera Mera Rishta,Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack)
Maula Maula,Rafaquat Ali Khan,Awarapan (Original Motion Picture Soundtrack)
Toh Phir Aao (Remix),Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack)
Mahiya (Remix),Annie,Awarapan (Original Motion Picture Soundtrack)
Tera Mera Rishta (Remix),Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack)
Tum Hi Ho Bandhu,Neeraj Shreedhar,Cocktail (Original Motion Picture Soundtrack)
Yaariyaan (Male Vocals),Mohan Kanan,Cocktail (Original Motion Picture Soundtrack)
Jugni,Arif Lohar,Cocktail (Original Motion Picture Soundtrack)
Yaariyaan (Female Vocals),Sunidhi Chauhan,Cocktail (Original Motion Picture Soundtrack)
Tera Naam Japdi Phiran (Remix),Javed Bashir,Cocktail (Original Motion Picture Soundtrack)
Tujh Mein Rab Dikhta Hai,Salim,Rab Ne Bana Di Jodi
Haule Haule,Salim,Rab Ne Bana Di Jodi
Dance Pe Chance,Salim,Rab Ne Bana Di Jodi
Phir Milenge Chalte Chalte,Salim,Rab Ne Bana Di Jodi
Tujh Mein Rab Dikhta Hai - II,Salim,Rab Ne Bana Di Jodi
Haule Haule (Remix) - Remixed by: DJ Amyth,Salim,Rab Ne Bana Di Jodi
Chup Chup Ke,Shankar-Ehsaan-Loy,Bunty Aur Babli
Nach Baliye,Shankar-Ehsaan-Loy,Bunty Aur Babli
Bunty Aur Babli,Shankar-Ehsaan-Loy,Bunty Aur Babli
B n B,Shankar-Ehsaan-Loy,Bunty Aur Babli
Kajra Re,Shankar-Ehsaan-Loy,Bunty Aur Babli
Barso Re,"A.R. Rahman, Shreya Ghoshal, Uday Mazumdar",Guru (Original Motion Picture Soundtrack)
Jashn-E-Bahaaraa,"A.R. Rahman, Javed Ali",Jodhaa Akbar (Original Motion Picture Soundtrack)
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",Rockstar
Maahi Ve,A.R. Rahman,Highway
Ho Ja Mast Malang Tu,"Adnan Dhool, Hadiya Hashmi",Malang - Unleash The Madness
Abhi Mujh Mein Kahin,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack)
"Duniyaa (From ""Luka Chuppi"")","Akhil, Dhvani Bhanushali, Kunaal Vermaa, Abhijit Vaghani","Duniyaa (From ""Luka Chuppi"")"
Tera Ban Jaunga,"Akhil Sachdeva, Tulsi Kumar",Kabir Singh
Chammak Challo,"Akon, Hamsika Iyer",Ra-One
Criminal,"Akon, Vishal Dadlani, Shruti Pathak",Ra-One
Faded - Lost Stories Remix,Alan Walker,Faded (Lost Stories Remix)
Maula,Ali Azmat,Jism 2
Aaj Ki Raat,"Alisha Chinai, Mahalakshmi Iyer, Sonu Nigam",Don
Ae Mere Humsafar,"Alka Yagnik, Udit Narayan",Qayamat Se Qayamat Tak
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Tamasha
Hua Hain Aaj Pehli Baar,"Amaal Mallik, Armaan Malik, Palak Muchhal",Sanam Re
Soch Na Sake,"Amaal Mallik, Arijit Singh, Tulsi Kumar",Airlift
